[10:16:51.303] Monitor démarré
[10:16:51.304] OSC server sur port 8000
[10:16:51.336] Serial connecté sur COM9
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:1 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:1 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:1 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-1 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:1 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:1 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-1 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-1 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-1 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:1 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-1 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:1 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:1 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:1 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.2 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.2 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:1 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.2 raw:0.3 rRate:0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
[SERIAL] 0.3 raw:0.3 rRate:-0 base:0.0 | jr:0 pk:0.0 jS:46.4 grace:0
